style,scenario,baseline_median_ms,style_only_median_ms,shaving_only_median_ms,combined_median_ms,style_only_red_pct,shaving_only_red_pct,combined_red_pct,interaction_pct,super_additive
liberty,liberty/swiss-zoomdrill,342.000,335.400,132.100,127.300,1.930,61.374,62.778,-0.526,false
liberty,liberty/tokyo-spiral,661.200,733.600,138.800,135.100,-10.950,79.008,79.567,11.509,true
liberty,liberty/tokyo-zigzag,652.900,730.900,136.500,134.600,-11.947,79.093,79.384,12.238,true
liberty,liberty/venice-spiral,289.700,296.800,132.800,129.200,-2.451,54.159,55.402,3.693,true
osm-bright,osm-bright/amazon-spiral,259.200,254.400,133.700,128.600,1.852,48.418,50.386,0.116,true
osm-bright,osm-bright/beijing-pansweep,595.300,595.200,136.900,135.500,0.017,77.003,77.238,0.218,true
osm-bright,osm-bright/blackforest-pansweep,344.300,340.900,344.900,342.600,0.988,-0.174,0.494,-0.319,false
osm-bright,osm-bright/blackforest-zigzag,348.200,339.500,349.100,343.900,2.499,-0.258,1.235,-1.005,false
osm-bright,osm-bright/cairo-zigzag,540.000,620.300,139.000,134.800,-14.870,74.259,75.037,15.648,true
osm-bright,osm-bright/munich-spiral,467.400,503.400,492.800,518.500,-7.702,-5.434,-10.933,2.204,true
osm-bright,osm-bright/munich-zigzag,471.200,496.800,492.800,527.700,-5.433,-4.584,-11.991,-1.974,false
osm-bright,osm-bright/newyork-bearingspin,621.100,688.100,140.900,132.900,-10.787,77.314,78.602,12.075,true
osm-bright,osm-bright/newyork-zoomdrill,616.500,698.000,139.800,132.800,-13.220,77.324,78.459,14.355,true
osm-bright,osm-bright/paris-zigzag,573.000,644.400,134.000,128.700,-12.461,76.614,77.539,13.386,true
osm-bright,osm-bright/paris-zoomdrill,569.000,634.700,133.300,127.700,-11.547,76.573,77.557,12.531,true
osm-bright,osm-bright/rome-spiral,511.700,554.600,132.800,129.100,-8.384,74.047,74.770,9.107,true
osm-bright,osm-bright/sahara-pansweep,199.200,200.900,141.800,134.800,-0.853,28.815,32.329,4.367,true
osm-bright,osm-bright/stockholm-bearingspin,488.700,483.900,139.900,134.300,0.982,71.373,72.519,0.164,true
osm-bright,osm-bright/swiss-zoomdrill,354.600,355.900,136.300,128.000,-0.367,61.562,63.903,2.707,true
osm-bright,osm-bright/tokyo-spiral,616.300,681.000,134.100,129.200,-10.498,78.241,79.036,11.293,true
osm-bright,osm-bright/tokyo-zigzag,623.300,679.300,133.700,128.800,-8.984,78.550,79.336,9.771,true
osm-bright,osm-bright/venice-spiral,323.000,330.100,134.400,129.900,-2.198,58.390,59.783,3.591,true
osm-liberty,osm-liberty/amazon-spiral,243.300,246.000,131.900,131.800,-1.110,45.787,45.828,1.151,true
osm-liberty,osm-liberty/beijing-pansweep,570.600,591.100,132.800,130.800,-3.593,76.726,77.077,3.943,true
osm-liberty,osm-liberty/blackforest-pansweep,468.400,332.100,349.700,360.200,29.099,25.342,23.100,-31.341,false
osm-liberty,osm-liberty/blackforest-zigzag,468.500,330.200,348.900,358.000,29.520,25.528,23.586,-31.462,false
osm-liberty,osm-liberty/cairo-zigzag,624.500,631.700,136.300,135.200,-1.153,78.175,78.351,1.329,true
osm-liberty,osm-liberty/munich-spiral,437.900,476.800,481.900,506.800,-8.883,-10.048,-15.734,3.197,true
osm-liberty,osm-liberty/munich-zigzag,438.700,474.900,479.800,507.100,-8.252,-9.369,-15.592,2.029,true
osm-liberty,osm-liberty/newyork-bearingspin,583.900,696.800,158.200,134.500,-19.336,72.906,76.965,23.394,true
osm-liberty,osm-liberty/newyork-zoomdrill,585.500,681.600,135.200,135.900,-16.413,76.909,76.789,16.294,true
osm-liberty,osm-liberty/paris-zigzag,541.300,608.400,129.700,126.400,-12.396,76.039,76.649,13.006,true
osm-liberty,osm-liberty/paris-zoomdrill,535.700,611.400,129.400,126.800,-14.131,75.845,76.330,14.616,true
osm-liberty,osm-liberty/rome-spiral,469.400,519.800,131.800,130.300,-10.737,71.922,72.241,11.057,true
osm-liberty,osm-liberty/sahara-pansweep,213.000,203.800,139.000,137.200,4.319,34.742,35.587,-3.474,false
osm-liberty,osm-liberty/stockholm-bearingspin,396.500,398.500,136.800,134.700,-0.504,65.498,66.028,1.034,true
osm-liberty,osm-liberty/swiss-zoomdrill,345.600,343.400,133.300,130.400,0.637,61.429,62.269,0.203,true
osm-liberty,osm-liberty/tokyo-spiral,614.600,679.900,134.700,127.100,-10.625,78.083,79.320,11.861,true
osm-liberty,osm-liberty/tokyo-zigzag,612.100,672.900,130.900,130.000,-9.933,78.615,78.762,10.080,true
osm-liberty,osm-liberty/venice-spiral,290.200,312.200,132.400,132.600,-7.581,54.376,54.307,7.512,true
positron,positron/amazon-spiral,214.500,215.000,119.800,118.000,-0.233,44.149,44.988,1.072,true
positron,positron/beijing-pansweep,638.700,634.100,122.800,116.300,0.720,80.773,81.791,0.297,true
positron,positron/blackforest-pansweep,283.600,282.200,289.600,286.200,0.494,-2.116,-0.917,0.705,true
positron,positron/blackforest-zigzag,339.000,279.400,289.900,283.400,17.581,14.484,16.401,-15.664,false
positron,positron/cairo-zigzag,461.600,453.300,125.300,122.500,1.798,72.855,73.462,-1.192,false
positron,positron/munich-spiral,362.100,345.500,378.200,366.000,4.584,-4.446,-1.077,-1.215,false
positron,positron/munich-zigzag,423.700,345.500,379.600,364.800,18.456,10.408,13.901,-14.963,false
positron,positron/newyork-bearingspin,443.300,420.500,125.000,120.800,5.143,71.802,72.750,-4.196,false
positron,positron/newyork-zoomdrill,444.400,422.100,125.300,119.900,5.018,71.805,73.020,-3.803,false
positron,positron/paris-zigzag,417.700,389.000,120.700,115.900,6.871,71.104,72.253,-5.722,false
positron,positron/paris-zoomdrill,414.300,393.000,120.400,116.000,5.141,70.939,72.001,-4.079,false
positron,positron/rome-spiral,377.200,359.500,119.200,116.400,4.692,68.399,69.141,-3.950,false
positron,positron/sahara-pansweep,166.000,162.400,124.800,122.400,2.169,24.819,26.265,-0.723,false
positron,positron/stockholm-bearingspin,398.400,389.000,123.400,122.200,2.359,69.026,69.327,-2.058,false
positron,positron/swiss-zoomdrill,286.800,283.600,118.400,116.400,1.116,58.717,59.414,-0.418,false
positron,positron/tokyo-spiral,546.000,541.400,118.200,116.100,0.842,78.352,78.736,-0.458,false
positron,positron/tokyo-zigzag,540.700,538.300,122.900,117.500,0.444,77.270,78.269,0.555,true
positron,positron/venice-spiral,264.200,264.100,120.700,118.100,0.038,54.315,55.299,0.946,true
stadia-outdoors,stadia-outdoors/amazon-spiral,240.100,241.000,137.900,131.700,-0.375,42.566,45.148,2.957,true
stadia-outdoors,stadia-outdoors/beijing-pansweep,665.500,662.900,136.400,129.800,0.391,79.504,80.496,0.601,true
stadia-outdoors,stadia-outdoors/blackforest-pansweep,320.800,320.000,342.400,343.200,0.249,-6.733,-6.983,-0.499,false
stadia-outdoors,stadia-outdoors/blackforest-zigzag,380.500,321.000,341.900,345.600,15.637,10.145,9.172,-16.610,false
stadia-outdoors,stadia-outdoors/cairo-zigzag,503.300,627.700,141.200,134.000,-24.717,71.945,73.376,26.147,true
