style,variant,step,metric,median,ci_lo,ci_hi,iqr_lo,iqr_hi,n_runs,wilcoxon_p
dark-matter,step-18-tile_shave,18,loadMs,114.1000,113.4000,115.0000,110.6000,124.8000,270,6.0136e-38
dark-matter,step-18-tile_shave,18,fps,2296.4267,2155.0124,2337.7110,1769.1226,2563.9168,270,8.7535e-45
dark-matter,step-19-tile_rewrite,19,loadMs,113.7500,113.2000,114.8500,110.6250,121.0000,270,4.92707e-46
dark-matter,step-19-tile_rewrite,19,fps,2470.5872,2426.3492,2524.8915,2323.4164,2584.6062,270,4.92737e-46
fiord,step-00-baseline,0,loadMs,370.9000,328.5000,379.1000,284.2250,414.9000,270,
fiord,step-00-baseline,0,fps,919.4411,905.7843,939.0086,828.8004,1173.9882,270,
fiord,step-01-simplify_unary,1,loadMs,370.0000,326.8000,380.1500,284.7500,415.9250,270,0.433665
fiord,step-01-simplify_unary,1,fps,921.0149,899.9121,945.0936,832.3845,1184.7278,270,0.971117
fiord,step-04-constant_fold_stats,4,loadMs,370.7000,333.8000,380.5000,285.7500,415.0750,270,0.00529588
fiord,step-04-constant_fold_stats,4,fps,919.5653,903.2937,939.7381,847.1574,1183.0597,270,0.0991918
fiord,step-05-simplify_expressions,5,loadMs,364.4500,332.7500,372.5500,282.0750,407.0500,270,3.91432e-16
fiord,step-05-simplify_expressions,5,fps,941.3238,923.0292,962.1968,829.0534,1181.8449,270,2.07179e-09
fiord,step-06-strip_defaults,6,loadMs,357.2000,323.8000,373.0000,281.4500,407.2250,270,1.56236e-17
fiord,step-06-strip_defaults,6,fps,941.8605,924.5909,961.5179,849.1463,1191.2475,270,9.99192e-15
fiord,step-07-minify_colors,7,loadMs,365.0000,325.6000,376.0000,281.2500,402.7750,270,6.2107e-18
fiord,step-07-minify_colors,7,fps,945.9525,922.0217,963.2325,836.2181,1176.2417,270,2.72881e-16
fiord,step-09-dead_elimination,9,loadMs,360.6000,332.8000,371.2000,278.2250,401.7750,270,2.40445e-26
fiord,step-09-dead_elimination,9,fps,979.4434,960.5145,1001.2583,878.5027,1227.6069,270,2.86168e-41
fiord,step-12-metadata_refinement_paint,12,loadMs,363.4500,319.6000,372.6013,278.2250,401.9000,270,6.00059e-27
fiord,step-12-metadata_refinement_paint,12,fps,977.2557,960.6157,998.3481,865.5313,1221.3628,270,1.31026e-41
fiord,step-13-metadata_refinement_stats,13,loadMs,354.9500,322.7000,371.4500,280.2500,401.6250,270,4.40941e-26
fiord,step-13-metadata_refinement_stats,13,fps,1008.6526,987.0803,1042.0787,906.6838,1385.5247,270,7.50496e-45
fiord,step-14-cleanup,14,loadMs,352.0000,320.3000,368.5500,279.0250,399.3750,270,2.46781e-33
fiord,step-14-cleanup,14,fps,1027.2482,1002.1946,1057.1326,912.8444,1396.9441,270,3.96206e-45
fiord,step-15-layer_merge,15,loadMs,359.0500,330.1500,368.7000,279.5000,401.8000,270,3.55646e-25
fiord,step-15-layer_merge,15,fps,1022.2437,993.7018,1052.0279,917.9351,1404.5889,270,1.37281e-44
fiord,step-16-selectivity_reorder,16,loadMs,352.5000,323.0000,365.9500,276.4250,398.7750,270,1.41015e-30
fiord,step-16-selectivity_reorder,16,fps,1015.8189,992.8976,1051.7476,916.6268,1392.6422,270,3.62732e-45
fiord,step-17-tile_shave_only,17,loadMs,125.5000,124.4000,126.9000,121.5500,139.9250,270,2.13317e-37
fiord,step-17-tile_shave_only,17,fps,2023.1199,1955.2480,2047.6299,1439.9365,2182.7399,270,2.31739e-42
fiord,step-18-tile_shave,18,loadMs,120.8500,119.4000,121.9000,116.3000,129.5750,270,1.04638e-37
fiord,step-18-tile_shave,18,fps,2253.6035,2228.9957,2279.6155,1545.9616,2425.3688,270,5.82355e-46
fiord,step-19-tile_rewrite,19,loadMs,120.5000,119.3000,121.4500,116.2250,130.4750,270,4.92692e-46
fiord,step-19-tile_rewrite,19,fps,2280.9188,2257.8094,2304.7473,1824.3600,2434.5771,270,4.92737e-46
icgc-fosc,step-00-baseline,0,loadMs,583.3500,572.7487,626.9000,441.7750,759.1000,270,
icgc-fosc,step-00-baseline,0,fps,705.2315,689.0365,738.6156,615.8942,835.4172,270,
icgc-fosc,step-01-simplify_unary,1,loadMs,538.3500,515.2500,568.3287,394.9250,649.6500,270,4.98159e-46
icgc-fosc,step-01-simplify_unary,1,fps,708.2213,689.2734,749.4663,630.8617,815.1704,270,0.733947
icgc-fosc,step-03-constant_fold,3,loadMs,558.9500,539.4000,584.7000,394.1250,721.3500,270,2.04665e-42
icgc-fosc,step-03-constant_fold,3,fps,674.2686,647.5993,717.3751,598.7303,780.3359,270,2.68854e-21
icgc-fosc,step-04-constant_fold_stats,4,loadMs,535.8500,523.4000,584.1000,360.7500,684.1000,270,9.13658e-46
icgc-fosc,step-04-constant_fold_stats,4,fps,668.2397,644.3222,716.0691,593.5698,777.7310,270,1.06324e-23
icgc-fosc,step-05-simplify_expressions,5,loadMs,533.6000,513.8000,584.1500,358.8000,690.9500,270,8.59453e-46
icgc-fosc,step-05-simplify_expressions,5,fps,671.0069,647.6447,718.4654,588.3480,778.8805,270,2.15023e-20
icgc-fosc,step-06-strip_defaults,6,loadMs,526.4000,496.8500,570.1000,355.7250,681.8750,270,6.08784e-46
icgc-fosc,step-06-strip_defaults,6,fps,664.5315,651.2882,728.3544,606.0145,799.7448,270,7.74776e-12
icgc-fosc,step-07-minify_colors,7,loadMs,525.5500,516.2000,569.1000,358.1250,682.7000,270,6.15585e-46
icgc-fosc,step-07-minify_colors,7,fps,667.3605,653.1284,724.1096,606.3071,794.6155,270,5.06042e-12
icgc-fosc,step-08-strip_metadata,8,loadMs,522.9000,494.0500,573.5000,357.5000,680.3500,270,5.85525e-46
icgc-fosc,step-08-strip_metadata,8,fps,667.9960,654.7072,730.7891,605.0793,796.8582,270,2.09726e-11
icgc-fosc,step-09-dead_elimination,9,loadMs,511.6000,493.4175,550.2500,346.6000,659.1000,270,5.82269e-46
icgc-fosc,step-09-dead_elimination,9,fps,721.5970,690.6486,792.8747,634.7985,846.3562,270,2.13753e-22
icgc-fosc,step-12-metadata_refinement_paint,12,loadMs,507.3500,475.4500,539.3000,352.1250,657.4750,270,5.56904e-46
icgc-fosc,step-12-metadata_refinement_paint,12,fps,719.2222,697.8968,787.3707,632.7548,849.2688,270,2.13299e-21
icgc-fosc,step-13-metadata_refinement_stats,13,loadMs,506.4500,494.6500,534.8500,343.5250,660.6750,270,5.0943e-46
icgc-fosc,step-13-metadata_refinement_stats,13,fps,736.2925,717.6666,812.9783,655.5223,881.2786,270,6.346e-35
icgc-fosc,step-14-cleanup,14,loadMs,485.7000,469.1500,528.5000,330.3250,630.1250,270,4.9268e-46
icgc-fosc,step-14-cleanup,14,fps,845.6244,832.0808,905.4333,725.7966,1071.5506,270,1.17313e-45
icgc-fosc,step-17-tile_shave_only,17,loadMs,213.7500,212.0500,216.0000,203.8250,231.3500,270,7.92768e-41
icgc-fosc,step-17-tile_shave_only,17,fps,1020.3358,1013.1041,1026.8646,833.3956,1297.0348,270,4.84393e-43
icgc-gris,step-00-baseline,0,loadMs,1336.9000,1316.0000,1361.0000,1208.4750,1491.1750,270,
icgc-gris,step-00-baseline,0,fps,576.9631,552.5698,590.0611,467.6634,622.9898,270,
icgc-gris,step-01-simplify_unary,1,loadMs,558.6000,543.2500,604.0000,409.5250,688.2750,270,4.92715e-46
icgc-gris,step-01-simplify_unary,1,fps,586.0175,579.6045,591.5961,498.8012,646.1761,270,1.27339e-09
icgc-gris,step-03-constant_fold,3,loadMs,580.3000,564.7500,655.4387,407.6250,743.6000,270,4.92737e-46
icgc-gris,step-03-constant_fold,3,fps,580.2387,572.3206,585.6953,494.1911,644.3454,270,4.10442e-05
icgc-gris,step-04-constant_fold_stats,4,loadMs,558.6000,540.1900,632.7500,391.2500,717.3250,270,4.92737e-46
icgc-gris,step-04-constant_fold_stats,4,fps,583.0339,577.7576,587.8642,502.9588,643.6511,270,6.01527e-11
icgc-gris,step-05-simplify_expressions,5,loadMs,558.5000,531.6000,633.9500,390.3000,719.7250,270,4.92734e-46
icgc-gris,step-05-simplify_expressions,5,fps,580.1224,573.4137,587.4928,501.8095,639.0118,270,2.09587e-10
icgc-gris,step-06-strip_defaults,6,loadMs,553.1000,523.3000,604.4000,387.5250,703.3500,270,4.92737e-46
icgc-gris,step-06-strip_defaults,6,fps,592.7255,588.1348,597.9423,522.8061,661.8866,270,3.75844e-25
icgc-gris,step-07-minify_colors,7,loadMs,550.3000,531.8000,614.3000,386.1000,702.0750,270,4.9273e-46
icgc-gris,step-07-minify_colors,7,fps,591.0717,584.7297,597.0020,516.7323,666.0516,270,3.09208e-23
icgc-gris,step-08-strip_metadata,8,loadMs,547.6500,527.5000,623.3000,386.7250,701.3750,270,4.92737e-46
icgc-gris,step-08-strip_metadata,8,fps,591.1917,585.9682,601.0118,516.1476,666.9805,270,1.5984e-24
icgc-gris,step-09-dead_elimination,9,loadMs,544.0000,507.9000,587.5500,374.0000,680.9750,270,4.92734e-46
icgc-gris,step-09-dead_elimination,9,fps,622.8030,615.7330,649.8828,562.2984,724.3724,270,1.21511e-43
icgc-gris,step-12-metadata_refinement_paint,12,loadMs,544.3500,504.2000,600.5000,372.6250,679.0250,270,4.92722e-46
icgc-gris,step-12-metadata_refinement_paint,12,fps,622.9690,615.8369,645.7739,554.6282,718.6896,270,4.3735e-44
icgc-gris,step-13-metadata_refinement_stats,13,loadMs,538.3500,511.7925,603.7000,371.0250,676.6000,270,4.92734e-46
icgc-gris,step-13-metadata_refinement_stats,13,fps,626.4968,618.8473,654.3446,568.7932,739.5420,270,2.12741e-44
icgc-gris,step-14-cleanup,14,loadMs,534.4500,504.4500,608.2500,369.6000,674.5500,270,4.92726e-46
icgc-gris,step-14-cleanup,14,fps,628.2908,620.0241,674.8257,563.2647,742.5728,270,2.08137e-44
icgc-gris,step-17-tile_shave_only,17,loadMs,1340.9000,1312.5862,1364.2500,1216.7250,1485.0750,270,0.588934
icgc-gris,step-17-tile_shave_only,17,fps,628.1563,614.6940,644.1654,573.5176,893.2541,270,1.54384e-42
klokan-basic,step-00-baseline,0,loadMs,319.7500,311.4500,328.8000,296.3750,352.2000,270,
klokan-basic,step-00-baseline,0,fps,1098.2403,1061.8302,1111.4763,1018.1553,1356.1183,270,
klokan-basic,step-01-simplify_unary,1,loadMs,317.8000,308.8000,328.5500,294.6250,353.4500,270,0.0992319
klokan-basic,step-01-simplify_unary,1,fps,1093.3791,1064.0069,1119.9776,1014.3200,1356.1887,270,0.737469
klokan-basic,step-03-constant_fold,3,loadMs,312.0000,306.3500,321.2000,290.7250,345.7250,270,3.45317e-15
klokan-basic,step-03-constant_fold,3,fps,1068.5183,1035.5033,1100.4900,994.2029,1354.1359,270,1.71267e-13
klokan-basic,step-04-constant_fold_stats,4,loadMs,312.6000,306.6975,323.9500,290.8250,345.2000,270,9.91589e-16
klokan-basic,step-04-constant_fold_stats,4,fps,1065.3239,1041.8109,1090.9544,1003.0341,1355.6827,270,1.24515e-14
klokan-basic,step-05-simplify_expressions,5,loadMs,315.5500,309.4000,323.2000,291.5500,343.1500,270,2.04124e-07
klokan-basic,step-05-simplify_expressions,5,fps,1063.7673,1036.1284,1090.0521,999.8900,1342.6314,270,2.44456e-16
klokan-basic,step-06-strip_defaults,6,loadMs,312.8000,306.7500,319.3000,288.4250,342.2500,270,8.56115e-19
klokan-basic,step-06-strip_defaults,6,fps,1089.4493,1064.2526,1123.4659,1025.9562,1385.4128,270,4.26356e-19
klokan-basic,step-07-minify_colors,7,loadMs,310.4000,307.0000,320.1000,293.5000,342.2750,270,1.27394e-13
klokan-basic,step-07-minify_colors,7,fps,1092.7365,1073.5975,1116.7492,1039.2999,1391.6190,270,8.15226e-18
klokan-basic,step-08-strip_metadata,8,loadMs,312.1500,306.9000,320.9000,290.9500,343.2500,270,1.05672e-12
klokan-basic,step-08-strip_metadata,8,fps,1093.1731,1073.2304,1134.0888,1031.1913,1384.0508,270,4.952e-15
klokan-basic,step-12-metadata_refinement_paint,12,loadMs,314.9500,305.5000,321.2000,290.4250,343.0500,270,4.46569e-16
klokan-basic,step-12-metadata_refinement_paint,12,fps,1096.8686,1073.1918,1124.9441,1035.7646,1389.0291,270,8.90327e-18
klokan-basic,step-13-metadata_refinement_stats,13,loadMs,310.3500,303.2000,318.7500,288.4500,338.1500,270,3.04894e-22
klokan-basic,step-13-metadata_refinement_stats,13,fps,1130.7515,1101.0110,1183.3331,1059.3466,1551.4443,270,3.66537e-30
klokan-basic,step-14-cleanup,14,loadMs,309.9000,304.9500,317.5000,289.1250,338.9750,270,1.33969e-20
klokan-basic,step-14-cleanup,14,fps,1127.4251,1104.8171,1188.7141,1064.0686,1554.7009,270,7.42971e-29
klokan-basic,step-15-layer_merge,15,loadMs,310.8500,306.6000,321.0000,290.5000,342.5000,270,3.0312e-10
klokan-basic,step-15-layer_merge,15,fps,1140.0183,1112.8850,1191.1066,1068.3411,1555.3050,270,2.79475e-37
klokan-basic,step-16-selectivity_reorder,16,loadMs,313.6000,306.6000,320.8500,290.2000,339.8500,270,6.35811e-10
klokan-basic,step-16-selectivity_reorder,16,fps,1139.2466,1118.9679,1189.7878,1067.8849,1586.2960,270,6.346e-35
klokan-basic,step-17-tile_shave_only,17,loadMs,120.4000,119.3000,121.4000,115.5250,128.8750,270,1.70916e-43
klokan-basic,step-17-tile_shave_only,17,fps,2232.9227,2202.8817,2257.1962,1922.8546,2410.2162,270,4.92737e-46
klokan-basic,step-18-tile_shave,18,loadMs,117.6000,116.8000,118.9500,112.6250,127.0250,270,1.38015e-44
klokan-basic,step-18-tile_shave,18,fps,2381.4648,2352.8677,2405.9124,2011.0258,2518.8840,270,4.92737e-46
klokan-basic,step-19-tile_rewrite,19,loadMs,118.1000,116.8000,119.3500,112.6250,129.4500,270,4.92669e-46
klokan-basic,step-19-tile_rewrite,19,fps,2461.0278,2430.0652,2481.9617,2337.2234,2581.2055,270,4.92737e-46
liberty,step-00-baseline,0,loadMs,466.4500,442.3000,526.6000,342.7250,591.2750,270,
liberty,step-00-baseline,0,fps,662.4554,635.4335,693.2031,556.0088,865.1561,270,
