style,variant,step,metric,median,ci_lo,ci_hi,iqr_lo,iqr_hi,n_runs,wilcoxon_p
osm-liberty,step-09-dead_elimination,9,loadMs,509.1500,487.8500,574.3000,333.9000,651.1250,270,2.08075e-14
osm-liberty,step-09-dead_elimination,9,fps,574.1245,553.0625,620.0795,430.6481,938.4889,270,0.715845
osm-liberty,step-12-metadata_refinement_paint,12,loadMs,513.1000,481.5000,567.3000,336.6000,641.8500,270,1.67794e-13
osm-liberty,step-12-metadata_refinement_paint,12,fps,586.0534,557.5174,619.2442,432.2784,942.4525,270,0.0667544
osm-liberty,step-13-metadata_refinement_stats,13,loadMs,513.9500,480.8500,572.1000,333.7500,635.7750,270,1.94751e-12
osm-liberty,step-13-metadata_refinement_stats,13,fps,622.6620,606.8129,637.3916,500.5741,961.0472,270,3.04961e-15
osm-liberty,step-14-cleanup,14,loadMs,506.4500,478.9000,556.9000,334.2500,643.0500,270,1.37419e-11
osm-liberty,step-14-cleanup,14,fps,624.3467,604.2148,640.8983,495.0317,962.3547,270,1.67092e-15
osm-liberty,step-15-layer_merge,15,loadMs,504.1000,477.3500,560.1500,334.6750,632.4750,270,2.0941e-12
osm-liberty,step-15-layer_merge,15,fps,638.9824,620.7983,659.3609,501.7194,969.3171,270,3.56823e-30
osm-liberty,step-16-selectivity_reorder,16,loadMs,507.0500,474.4500,566.6000,334.5250,632.9000,270,1.40388e-12
osm-liberty,step-16-selectivity_reorder,16,fps,637.8031,623.8257,654.4305,498.9885,967.5497,270,5.9691e-29
osm-liberty,step-17-tile_shave_only,17,loadMs,135.6000,134.7000,137.3000,131.5250,158.7000,270,8.40084e-44
osm-liberty,step-17-tile_shave_only,17,fps,1704.7212,1567.5887,1724.5731,1416.7161,2057.6574,270,1.09588e-42
osm-liberty,step-18-tile_shave,18,loadMs,134.0500,132.8000,134.9000,129.6000,141.5750,270,4.7662e-43
osm-liberty,step-18-tile_shave,18,fps,1767.3831,1692.8251,1781.4533,1524.2733,2104.2103,270,6.9088e-44
osm-liberty,step-19-tile_rewrite,19,loadMs,132.1500,131.0000,133.6500,128.4000,137.7250,240,1.8165e-78
osm-liberty,step-19-tile_rewrite,19,fps,1784.8317,1769.7429,1811.4837,1649.0516,2107.6027,240,9.39323e-82
positron,step-00-baseline,0,loadMs,404.4000,383.7500,415.4500,289.1250,447.7000,270,
positron,step-00-baseline,0,fps,865.4953,831.4243,930.0073,764.1438,1145.0395,270,
positron,step-01-simplify_unary,1,loadMs,383.0000,371.9000,404.4500,286.6250,446.0000,270,7.52643e-08
positron,step-01-simplify_unary,1,fps,859.8567,819.9681,941.8438,766.3021,1136.1100,270,0.20899
positron,step-04-constant_fold_stats,4,loadMs,387.8000,368.2000,403.7013,286.0250,435.3750,270,9.05042e-18
positron,step-04-constant_fold_stats,4,fps,860.0389,823.5775,935.7733,772.1039,1144.5711,270,0.477385
positron,step-05-simplify_expressions,5,loadMs,372.6000,356.1500,392.8000,281.7500,426.0750,270,1.1585e-32
positron,step-05-simplify_expressions,5,fps,849.8893,821.4481,938.6801,769.5403,1152.4399,270,0.880852
positron,step-06-strip_defaults,6,loadMs,373.9500,355.8500,390.9500,281.2250,426.7750,270,4.62348e-33
positron,step-06-strip_defaults,6,fps,841.8459,825.6090,939.1539,775.2670,1155.0580,270,0.0209393
positron,step-07-minify_colors,7,loadMs,374.9500,354.9000,391.3000,281.9250,426.9750,270,5.29329e-32
positron,step-07-minify_colors,7,fps,840.3434,824.9975,924.9692,771.4817,1148.5532,270,0.0991918
positron,step-16-selectivity_reorder,16,loadMs,372.0500,352.4500,388.3000,281.8250,426.2500,270,7.76443e-33
positron,step-16-selectivity_reorder,16,fps,841.3930,820.5356,939.1341,770.9316,1148.8276,270,0.0620376
positron,step-17-tile_shave_only,17,loadMs,123.4500,123.0000,124.5000,120.3000,130.2500,270,5.86819e-44
positron,step-17-tile_shave_only,17,fps,2055.0975,1996.2722,2074.7543,1612.4375,2297.8092,270,2.06446e-45
positron,step-18-tile_shave,18,loadMs,120.2000,119.3488,121.3500,116.3250,125.3500,270,2.19821e-44
positron,step-18-tile_shave,18,fps,2091.3882,2023.3927,2108.5102,1608.3261,2292.8871,270,5.03843e-46
positron,step-19-tile_rewrite,19,loadMs,119.2500,118.6000,120.0500,116.3750,122.4000,240,1.03105e-84
positron,step-19-tile_rewrite,19,fps,2252.7177,2157.2836,2278.7709,2089.0313,2374.8446,240,1.9434e-82
stadia-outdoors,step-00-baseline,0,loadMs,476.3500,444.4000,507.5500,353.6750,558.4750,270,
stadia-outdoors,step-00-baseline,0,fps,726.2665,706.2392,752.6274,602.7337,968.3721,270,
stadia-outdoors,step-01-simplify_unary,1,loadMs,442.5500,423.6000,486.8000,324.5250,558.1250,270,0.0115912
stadia-outdoors,step-01-simplify_unary,1,fps,727.8635,706.5661,759.5897,611.1749,968.5669,270,0.921536
stadia-outdoors,step-03-constant_fold,3,loadMs,478.5500,448.3000,571.3000,332.7000,616.4000,270,4.0546e-18
stadia-outdoors,step-03-constant_fold,3,fps,738.9483,708.9924,755.6929,582.9877,1045.1056,270,0.107091
stadia-outdoors,step-04-constant_fold_stats,4,loadMs,478.4500,444.0000,557.9000,330.4250,599.9750,270,1.18822e-15
stadia-outdoors,step-04-constant_fold_stats,4,fps,738.1383,712.5577,756.9178,592.3287,1021.6836,270,0.0070823
stadia-outdoors,step-05-simplify_expressions,5,loadMs,478.1500,445.2000,554.5500,330.3250,617.1750,270,9.36797e-16
stadia-outdoors,step-05-simplify_expressions,5,fps,739.7565,707.9437,755.9981,589.2504,1025.1216,270,0.000653149
stadia-outdoors,step-06-strip_defaults,6,loadMs,474.6000,441.7500,546.4000,324.3250,609.2500,270,9.98462e-14
stadia-outdoors,step-06-strip_defaults,6,fps,756.8894,722.1286,776.7760,609.5641,1062.8332,270,1.49405e-35
stadia-outdoors,step-07-minify_colors,7,loadMs,468.5500,440.3500,555.1000,325.8000,621.2000,270,6.96766e-14
stadia-outdoors,step-07-minify_colors,7,fps,759.6163,725.7286,776.1811,611.7540,1078.8625,270,1.07206e-35
stadia-outdoors,step-08-strip_metadata,8,loadMs,468.7000,438.0500,544.2500,324.6000,618.1750,270,1.20314e-13
stadia-outdoors,step-08-strip_metadata,8,fps,755.5558,724.4350,776.2016,604.4405,1051.7352,270,3.65505e-35
stadia-outdoors,step-09-dead_elimination,9,loadMs,470.3500,444.0000,542.4000,323.1000,616.6750,270,1.43451e-11
stadia-outdoors,step-09-dead_elimination,9,fps,758.1486,733.8964,778.5287,634.0304,1131.9524,270,3.41612e-40
stadia-outdoors,step-12-metadata_refinement_paint,12,loadMs,495.2000,461.6000,576.6000,331.4250,650.4500,270,9.39773e-18
stadia-outdoors,step-12-metadata_refinement_paint,12,fps,777.5858,746.3604,792.2130,603.5315,1116.2311,270,1.73313e-39
stadia-outdoors,step-13-metadata_refinement_stats,13,loadMs,498.3000,477.3000,578.9000,324.3250,654.8000,270,1.30861e-17
stadia-outdoors,step-13-metadata_refinement_stats,13,fps,784.0564,769.5501,792.4243,655.2043,1193.7767,270,1.16457e-44
stadia-outdoors,step-14-cleanup,14,loadMs,493.3500,474.5500,565.0000,324.4750,651.9250,270,1.51246e-17
stadia-outdoors,step-14-cleanup,14,fps,784.4149,769.3075,801.7946,672.0131,1217.9960,270,2.796e-44
stadia-outdoors,step-15-layer_merge,15,loadMs,501.0500,477.8000,567.9000,326.4250,650.7750,270,1.34763e-19
stadia-outdoors,step-15-layer_merge,15,fps,779.0430,769.7015,804.7384,664.0793,1248.2334,270,1.54794e-45
stadia-outdoors,step-16-selectivity_reorder,16,loadMs,491.5000,471.6500,568.4000,324.3000,639.2500,270,1.16678e-17
stadia-outdoors,step-16-selectivity_reorder,16,fps,779.7509,770.3427,795.5940,675.0995,1218.8570,270,9.08707e-46
stadia-outdoors,step-17-tile_shave_only,17,loadMs,140.4000,139.7000,141.2500,136.0500,147.2750,270,7.78612e-44
stadia-outdoors,step-17-tile_shave_only,17,fps,1576.3539,1534.0256,1587.2858,1361.3941,1973.1048,270,3.74455e-42
stadia-outdoors,step-18-tile_shave,18,loadMs,134.5500,133.5500,135.7000,130.8500,140.4500,270,1.21325e-42
stadia-outdoors,step-18-tile_shave,18,fps,1713.3747,1701.4509,1728.3172,1491.0278,2142.0507,270,4.98259e-46
stadia-outdoors,step-19-tile_rewrite,19,loadMs,133.4000,132.7000,133.9500,129.9750,135.6250,240,4.1269e-84
stadia-outdoors,step-19-tile_rewrite,19,fps,1840.7138,1763.3692,2003.6996,1715.3610,2172.3764,240,1.69304e-81
toner,step-00-baseline,0,loadMs,343.6000,333.0500,347.9500,284.5000,379.8250,270,
toner,step-00-baseline,0,fps,1273.2159,1254.9633,1328.1054,1192.3591,1423.9710,270,
toner,step-01-simplify_unary,1,loadMs,342.7500,334.8500,350.0513,285.1500,378.5250,270,0.307338
toner,step-01-simplify_unary,1,fps,1266.1413,1257.7080,1323.9991,1201.6043,1426.6266,270,0.903011
toner,step-03-constant_fold,3,loadMs,338.1000,329.2500,343.6000,289.4000,382.8000,270,0.533115
toner,step-03-constant_fold,3,fps,1246.9617,1233.6683,1298.4717,1191.7417,1404.0479,270,1.00036e-12
toner,step-04-constant_fold_stats,4,loadMs,334.4000,328.6000,338.8000,281.7000,379.0000,270,0.000110471
toner,step-04-constant_fold_stats,4,fps,1243.0520,1230.4531,1300.4007,1189.6829,1402.0827,270,3.00945e-13
toner,step-05-simplify_expressions,5,loadMs,340.6500,330.8500,344.3500,283.1500,385.7500,270,0.677842
toner,step-05-simplify_expressions,5,fps,1242.1933,1232.0640,1291.8959,1186.4982,1399.4306,270,3.00945e-13
toner,step-06-strip_defaults,6,loadMs,335.3500,326.7000,343.2000,281.5750,381.3750,270,1.10526e-05
toner,step-06-strip_defaults,6,fps,1284.4238,1263.5279,1337.4847,1215.3600,1451.4095,270,1.1545e-08
toner,step-07-minify_colors,7,loadMs,336.7000,329.2462,342.8000,281.2500,381.7750,270,0.0184724
toner,step-07-minify_colors,7,fps,1281.9319,1260.9138,1329.7506,1199.3485,1451.7840,270,5.89008e-08
toner,step-08-strip_metadata,8,loadMs,334.8500,327.3000,341.5000,281.3000,382.2250,270,0.00905178
toner,step-08-strip_metadata,8,fps,1280.2479,1263.2968,1326.9717,1222.8273,1450.4614,270,2.24661e-08
toner,step-13-metadata_refinement_stats,13,loadMs,336.7000,327.8500,342.6500,280.1500,381.0250,270,0.000457784
toner,step-13-metadata_refinement_stats,13,fps,1348.4695,1316.4768,1412.7668,1252.4680,1462.2555,270,5.53483e-17
toner,step-14-cleanup,14,loadMs,337.2000,331.2000,343.4000,279.5000,381.8000,269,0.715057
toner,step-14-cleanup,14,fps,1346.0771,1316.5117,1395.2456,1248.7732,1456.4205,269,0.00138658
toner,step-15-layer_merge,15,loadMs,337.7000,331.7500,342.6000,278.4750,379.9000,270,0.000125529
toner,step-15-layer_merge,15,fps,1358.8419,1334.3869,1427.9063,1274.5799,1486.4520,270,2.82223e-32
toner,step-16-selectivity_reorder,16,loadMs,333.2500,326.8500,337.8550,279.2000,372.3000,270,5.50695e-12
toner,step-16-selectivity_reorder,16,fps,1374.8129,1345.2218,1435.8871,1276.1981,1491.5564,270,1.15538e-32
toner,step-17-tile_shave_only,17,loadMs,125.2500,122.9000,128.7000,116.4750,140.2000,270,5.14446e-39
toner,step-17-tile_shave_only,17,fps,2291.9639,2210.4379,2406.5985,1867.4331,2597.4285,270,4.98259e-46
toner,step-18-tile_shave,18,loadMs,122.4000,119.9000,124.3000,113.7250,139.4250,270,2.64393e-41
toner,step-18-tile_shave,18,fps,2469.2532,2334.4399,2515.5034,1955.1678,2730.1786,270,4.92737e-46
toner,step-19-tile_rewrite,19,loadMs,121.8500,119.7000,124.5000,114.3500,137.0250,270,1.99639e-33
toner,step-19-tile_rewrite,19,fps,2540.7631,2521.1180,2585.8375,2191.5003,2789.2959,270,4.92737e-46
